,Tweets
63,"Pergantian pemain:

⬆️ Rachmad 
⬇️ Wawan

#PSISDAY"
64,"'70 MEH WE!! Taisei otak atik bola di pertahanan Persikabo, sayang sodorannya masih melebar dari gawang Persikabo. 

#PSISDAY"
65,"Sodoran Ucil dari sisi kanan mampu memecah pertahanan Persikabo, bola dari Ucil berbelok arah terkena Riyan untuk c… https://t.co/hEb43aJFlz"
66,"HATTRICK DARI RIYAN ARDIYANSYAH!!! ⚽️⚽️⚽️

🔵3-1⚔️

#PSISDAY"
67,"'51 Tendangan Riyan masih terlalu tinggi dari gawang Persikabo.

#PSISDAY"
68,"Second half underway! ⚽️⚽️

#PSISDAY"
69,Setengah main! 💥 https://t.co/ST343UMSSV
70,"Tambahan waktu 2 menit babak pertama.

#PSISDAY"
71,"'41 Gol Persikabo 2-1. 

#PSISDAY"
72,"'25 Tendangan Ucil dari sisi kanan gawang Persikabo mampu dimentahkan, tipis dari gawang.

#PSISDAY"
73,"Dalam situasi serangan balik, Taisei kirim umpan akurat kepada Riyan yang bebas. Gol kedua dari Riyan Ardiyansyah!! ⚽️⚽️

#PSISDAY"
74,"RIYAN TO THE BRACEEEE!!!! 2-0 ⚽️⚽️

#PSISDAY"
75,"Menyambut umpan cut back Wawan, Ucil kirim umpan kepada Riyan di tiang dekat, tanpa ragu langsung menceploskan bola… https://t.co/IKgwUxhGp1"
76,"GOL RIYAN ARDIYANSYAHHHH!!! 1-0 PSIS MEMIMPIN!! 

#PSISDAY"
77,"It's time, kick-off babak pertama!

🔵🆚⚔️

#PSISDAY"
78,"Panaskan mesinnya, bersiap berjuang hari ini! 💪🏼⚡️

#PSISDAY https://t.co/szD2E4Mzei"
79,"🔵Team News

IX: Redondo (GK), Fred Ucil, Dewa, Alie, Frendi©, Aqsha, Guntur, Jonathan, Riyan, Wawan, Taisei

Subs:… https://t.co/GwbNjBvFp9"
80,"Home. 🏟

#PSISDAY https://t.co/p6QjzfQpFQ"
81,"𝗨𝗡𝗟𝗘𝗔𝗦𝗛 𝗧𝗛𝗘 𝗠𝗔𝗫𝗜𝗠𝗨𝗠 𝗣𝗢𝗪𝗘𝗥‼️

#PSISDAY https://t.co/p2VrDVKFbY"
